snapshot_date,symbol,contract_date,label,tenor,price
2026-04-27,JCM26,2026-06-01,Jun 2026,2,584.0
2026-04-27,JCN26,2026-07-01,Jul 2026,3,580.0
2026-04-27,JCQ26,2026-08-01,Aug 2026,4,580.0
2026-04-27,JCU26,2026-09-01,Sep 2026,5,557.5
2026-04-28,JCJ26,2026-04-01,Apr 2026,0,690.5
2026-04-28,JCK26,2026-05-01,May 2026,1,640.0
2026-04-28,JCM26,2026-06-01,Jun 2026,2,595.0
2026-04-28,JCN26,2026-07-01,Jul 2026,3,565.0
2026-04-28,JCQ26,2026-08-01,Aug 2026,4,560.0
2026-04-28,JCU26,2026-09-01,Sep 2026,5,562.5
2026-04-29,JCJ26,2026-04-01,Apr 2026,0,687.75
2026-04-29,JCK26,2026-05-01,May 2026,1,625.0
2026-04-29,JCM26,2026-06-01,Jun 2026,2,593.5
2026-04-29,JCN26,2026-07-01,Jul 2026,3,565.0
2026-04-29,JCQ26,2026-08-01,Aug 2026,4,560.0
2026-04-29,JCU26,2026-09-01,Sep 2026,5,562.5
2026-04-30,JCJ26,2026-04-01,Apr 2026,0,682.05
2026-04-30,JCK26,2026-05-01,May 2026,1,631.0
2026-04-30,JCM26,2026-06-01,Jun 2026,2,585.0
2026-04-30,JCN26,2026-07-01,Jul 2026,3,565.0
2026-04-30,JCQ26,2026-08-01,Aug 2026,4,550.0
2026-04-30,JCU26,2026-09-01,Sep 2026,5,545.0
2026-05-01,JCK26,2026-05-01,May 2026,0,631.0
2026-05-01,JCM26,2026-06-01,Jun 2026,1,585.0
2026-05-01,JCN26,2026-07-01,Jul 2026,2,565.0
2026-05-01,JCQ26,2026-08-01,Aug 2026,3,550.0
2026-05-01,JCU26,2026-09-01,Sep 2026,4,545.0
2026-05-02,JCK26,2026-05-01,May 2026,0,631.0
2026-05-02,JCM26,2026-06-01,Jun 2026,1,585.0
2026-05-02,JCN26,2026-07-01,Jul 2026,2,565.0
2026-05-02,JCQ26,2026-08-01,Aug 2026,3,550.0
2026-05-02,JCU26,2026-09-01,Sep 2026,4,545.0
2026-05-03,JCK26,2026-05-01,May 2026,0,631.0
2026-05-03,JCM26,2026-06-01,Jun 2026,1,585.0
2026-05-03,JCN26,2026-07-01,Jul 2026,2,565.0
2026-05-03,JCQ26,2026-08-01,Aug 2026,3,550.0
2026-05-03,JCU26,2026-09-01,Sep 2026,4,545.0
2026-05-04,JCK26,2026-05-01,May 2026,0,631.0
2026-05-04,JCM26,2026-06-01,Jun 2026,1,585.0
2026-05-04,JCN26,2026-07-01,Jul 2026,2,565.0
2026-05-04,JCQ26,2026-08-01,Aug 2026,3,550.0
2026-05-04,JCU26,2026-09-01,Sep 2026,4,545.0
2026-05-05,JCK26,2026-05-01,May 2026,0,628.0
2026-05-05,JCM26,2026-06-01,Jun 2026,1,585.0
2026-05-05,JCN26,2026-07-01,Jul 2026,2,560.0
2026-05-05,JCQ26,2026-08-01,Aug 2026,3,550.0
2026-05-05,JCU26,2026-09-01,Sep 2026,4,545.0
2026-05-06,JCK26,2026-05-01,May 2026,0,623.0
2026-05-06,JCM26,2026-06-01,Jun 2026,1,577.5
2026-05-06,JCN26,2026-07-01,Jul 2026,2,555.0
2026-05-06,JCQ26,2026-08-01,Aug 2026,3,550.0
2026-05-06,JCU26,2026-09-01,Sep 2026,4,550.0
2026-05-07,JCK26,2026-05-01,May 2026,0,616.25
2026-05-07,JCM26,2026-06-01,Jun 2026,1,580.0
2026-05-07,JCN26,2026-07-01,Jul 2026,2,530.0
2026-05-07,JCQ26,2026-08-01,Aug 2026,3,525.0
2026-05-07,JCU26,2026-09-01,Sep 2026,4,525.0
2026-05-07,JCV26,2026-10-01,Oct 2026,5,510.0
2026-05-07,JCX26,2026-11-01,Nov 2026,6,510.0
